ID,flow_99,flow_max,flow_median,flow_total,n_obs
313979,50.0,71.0,24.0,18447830.0,806622
313980,11.0,25.0,1.0,1618489.0,806622
313981,14.0,28.0,3.0,2916088.0,806622
314013,48.0,68.0,22.0,17301107.0,806548
314014,10.0,19.0,1.0,1522494.0,806548
314015,0.0,0.0,0.0,0.0,806548
314025,52.0,72.0,24.0,18948991.0,806522
314026,6.0,15.0,1.0,1069189.0,806522
314548,53.0,110.0,26.0,19727734.0,803427
314549,14.0,34.0,1.0,1821222.0,803428
316773,50.0,102.0,24.0,17178088.0,746685
316778,32.0,55.0,15.0,10807916.0,746685
316783,54.0,76.0,36.0,2117604.0,59948
316788,38.0,49.0,23.0,1370040.0,59948
318017,0.0,0.0,0.0,0.0,370938
318022,0.0,0.0,0.0,0.0,371723
318052,52.0,66.0,29.0,17922124.0,674239
318053,54.0,70.0,28.0,17846420.0,674239
318054,4.0,14.0,0.0,433020.0,674245
318055,12.0,18.0,0.0,1079760.0,674239
318067,64.0,204.0,21.0,14556545.0,709811
318068,45.0,62.0,21.0,14734600.0,709811
318076,53.0,96.0,27.0,17499721.0,701921
318077,0.0,0.0,0.0,0.0,701921
318102,52.0,71.0,24.0,18960207.0,812587
318103,10.0,18.0,1.0,1261660.0,812587
318104,6.0,12.0,1.0,1192207.0,812587
318105,6.0,13.0,1.0,1089589.0,812587
318106,3.0,12.0,0.0,362549.0,812587
318113,49.0,70.0,22.0,17485842.0,812617
318114,9.0,16.0,2.0,2098817.0,811752
318115,12.0,25.0,1.0,1535561.0,811752
318126,35.0,52.0,18.0,13492725.0,803581
318127,9.0,17.0,1.0,903372.0,802593
318142,25.0,46.0,9.0,7010380.0,812722
318738,9.0,19.0,2.0,1701269.0,811836
402260,42.0,60.0,0.0,3846600.0,786406
402261,44.0,64.0,0.0,3894755.0,786424
402262,27.0,48.0,0.0,899841.0,786423
402263,25.0,59.0,0.0,876983.0,786410
402264,48.0,68.0,14.0,12516096.0,786405
402265,50.0,74.0,18.0,14783467.0,786404
402266,33.0,72.0,0.0,3177927.0,786424
402267,40.0,68.0,9.0,9031291.0,786410
402268,0.0,0.0,0.0,0.0,786396
402269,0.0,0.0,0.0,0.0,786393
402270,52.0,72.0,18.0,14707931.0,786402
402271,0.0,0.0,0.0,0.0,786394
402272,0.0,0.0,0.0,0.0,786408
